key;equipmentKey;fault;name;photo;recommandation
-LHXpVfxOjQMM5X0wrLS;-LHXpVfwBjRh2jsIQlk7;;Contrôler la présence de la documentation constructeur (DOE, notice d'utilisation, garanties, etc.);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVfxOjQMM5X0wrLS%2F011795_Photo%2003-05-2018%2010.05.55.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVkleogkDRT0Vq-Z;-LHXpVi174vuvwhEHXYb;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkleogkDRT0Vq-_;-LHXpVhzRWR4y5yfgQqo;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkmqlAfNOz3N2Fo;-LHXpVhxHwD48X0vbdzV;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkmqlAfNOz3N2Fp;-LHXpVhuZgzt8F6bIQf6;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVknuokaVlxNMULm;-LHXpVht_zEwZ3L0NCX2;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVko7TJYl5pEM8GH;-LHXpVhpTDaHaYChPs5G;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVko7TJYl5pEM8GI;-LHXpVhob-Hm3V1VOE1B;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkpOZ1VrL8N66-t;-LHXpVhmqap8Maj7E7Ph;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkpOZ1VrL8N66-u;-LHXpVhkSoo6-UjfcLDv;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
