key;brand;building;domain;local;model;name;nbFaults;niveau;notes;photo;quantity;serialNumber;status
-LHXpVfII4J53rgKtuAi;ELCO;Batiment Test;CVC;Chaufferie;RENDAMAX R3604 SB;Chaudière gaz;9;R-1;"Rendement nominal à 80/60°C 93,5%
Brûleur bas-Nox surfacique modulant à pré mélange total, refroidi par l’eau permettant de faible taux de rejets polluants
Les chaudières fonctionnent en régime constant pour assurer une température suffisamment haute au p";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVfII4J53rgKtuAi%2F011793_Photo%2003-05-2018%2010.51.52.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;0412151006;En marche
-LHXpVflc-dgLpOHjPdW;Legrand;Batiment Test;ELECTRICITE COURANTS FORTS;Chaufferie;Atlantic 55;Armoire électrique Chaufferie;14;R-1;"L'équipement présente peu de risque Il manque des documentations et informations liées à la prévention pour assurer une bonne maintenance de l'équipement (pictogramme, schéma électrique, etc...)
Nous conseillons la mise en place d'un compteur électrique p";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVflc-dgLpOHjPdW%2F011794_Photo%2003-05-2018%2008.34.11.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVfwBjRh2jsIQlk7;Biofluides;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;Clario 1.15;Pot à boue Filtre désemboueur;0;R-1;"Solution de clarification
S'assurer de la bonne réalisation de la maintenance et du nettoyage du filtre
Il est possible de mettre en place en complément :
- un coffret de détection d'encrassement avec pressostat
- Une régulation automatique du pH";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVfwBjRh2jsIQlk7%2F011795_Photo%2003-05-2018%2008.36.07.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVfxOjQMM5X0wrLT;Smart;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;Pressosmart CPK270;Groupe de maintien de pression Chauffage;10;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVfxOjQMM5X0wrLT%2F011796_Photo%2003-05-2018%2008.37.41.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVg5qOKxtZRgDb8t;Johnson control;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;GH5629 9057;Vanne et robinetterie gaz Électrovanne coupure;0;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVg5qOKxtZRgDb8t%2F011797_Photo%2003-05-2018%2008.44.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signatur;2;;En marche
-LHXpVg6v2J9F6C6Qf3Q;Grundfoss;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;80-120F;Pompe Charge chaudière n°1;5;R-1;Nous conseillons d'analyser et comparer le débit de la pompe recyclage à la somme des débits des réseaux secondaires pour assurer un retour de température minimale aux chaudières (amélioration de la condensation des chaudières);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVg6v2J9F6C6Qf3Q%2F011798_Photo%2003-05-2018%2008.49.35.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;54Z40002;En marche
-LHXpVg9z_kOzpTih7fa;;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;;Vanne et robinetterie gaz Chaudière;0;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVg9z_kOzpTih7fa%2F011799_Photo%2003-05-2018%2008.53.57.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;;En marche
-LHXpVg9z_kOzpTih7fb;Magnol;Batiment Test;COMPTAGE;Chaufferie;TRZ G65 DN 50 PN16;Compteur gaz Chaudière 1;4;R-1;"Il est conseillé d'étalonner régulièrement les compteurs gaz
Nous préconisons de réaliser un relevé et suivi hebdommadaire du compteur gaz pour améliorer la performance énergétique de l'installation";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVg9z_kOzpTih7fb%2F011800_Photo%2003-05-2018%2008.55.17.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;80054884;En marche
-LHXpVgBt3QZOkoq_6VA;Magnol;Batiment Test;COMPTAGE;Chaufferie;TRZ G65 DN 50 PN16;Compteur gaz Chaudière 2;4;R-1;"Il est conseillé d'étalonner régulièrement les compteurs gaz
Nous préconisons de réaliser un relevé et suivi hebdommadaire du compteur gaz pour améliorer la performance énergétique de l'installation";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgBt3QZOkoq_6VA%2F011801_Photo%2003-05-2018%2008.57.40.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;80054889;En marche
-LHXpVgCobOu54xld_fA;Grundfoss;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;UPS 80-120F;Pompe Charge chaudière n°2;5;R-1;Nous conseillons d'analyser et comparer le débit de la pompe recyclage à la somme des débits des réseaux secondaires pour assurer un retour de température minimale aux chaudières (amélioration de la condensation des chaudières);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgCobOu54xld_fA%2F011802_Photo%2003-05-2018%2008.58.46.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;54Z40002;En marche
